grade,c_lo,c_hi,mn_lo,mn_hi,p_lo,p_hi,s_lo,s_hi,si_lo,si_hi
1,,0.20,,0.90,,0.040,,0.050,,0.20
2,0.28,0.34,0.60,0.90,,0.040,,0.050,0.15,0.30
3,,0.60,,1.00,,0.040,,0.050,0.15,0.30
5,,0.65,,1.00,,0.040,,0.050,0.15,0.30
6,,0.55,,1.00,,0.040,,0.050,0.15,0.30
7,,0.65,,1.30,,0.040,,0.050,0.15,0.30
