v_fps,panel,perf,penet,dents,total
0,A,1.82,1.59,6.30,9.71
0,B,1.93,2.76,2.76,7.45
0,C,1.48,1.49,0.96,3.93
700,A,1.51,1.38,4.86,7.75
700,B,0.75,0.96,1.49,3.20
700,C,0.77,1.08,0.21,2.06
1085,A,0.87,1.89,1.90,4.66
1085,B,0.17,0.34,0.27,0.78
1085,C,0.24,0.53,0.08,0.85
1450,A,0.24,1.29,1.26,2.79
1450,B,0.24,0.50,0.76,1.50
1685,A,0.34,0.70,0.31,1.35
1685,B,0.18,0.57,0.62,1.37
1685,C,0.12,0.40,0.08,0.60
2130,A,0.00,0.50,0.20,0.70
2130,B,0.00,0.71,0.41,1.12
2130,C,0.04,0.12,0.00,0.16
