r_ft,N,B,m_oz,v_fps
20,1070,0.213,0.014,2060
30,920,0.0809,0.018,1820
40,750,0.0375,0.024,1570
60,640,0.0141,0.037,1270
80,510,0.0064,0.051,1080
100,450,0.0036,0.063,972
150,370,0.0013,0.090,813
200,320,0.0006,0.116,716
300,250,0.0002,0.173,587
400,200,0.0001,0.244,494
